Altium Designer Pick and Place Locations
C:\Work\6MS\Hardware\Master Board\ProjectOutputs\PCB Fab\Pick Place\Pick Place for Local Master(Three Resistor).txt

========================================================================================================================
File Design Information:

Date:       11-01-21
Time:       17:26
Revision:   aa3b334c2c4bd404bbbe23983af0b36f8c92ec99
Variant:    Three Resistor
Units used: mm

Designator Comment                                    Layer    Footprint       Center-X(mm) Center-Y(mm) Rotation Description                                
C25        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  118.0000     122.6000     360      "Cap Ceramic 0.1u 25V X7R 0603"            
C24        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  119.6000     127.3000     90       "Cap Ceramic 0.1u 25V X7R 0603"            
C23        "Cap Ceramic 20p 50V C0G 0603"             TopLayer CAPC1608N-0603  102.0000     128.4000     270      "Cap Ceramic 20p 50V C0G 0603"             
C22        "Cap Ceramic 20p 50V C0G 0603"             TopLayer CAPC1608N-0603  109.0000     128.7000     180      "Cap Ceramic 20p 50V C0G 0603"             
C21        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  91.4000      125.3000     180      "Cap Ceramic 0.1u 25V X7R 0603"            
C20        "Cap Ceramic 1u 25V X5R 0603"              TopLayer CAPC1608N-0603  91.4000      123.8000     180      "Cap Ceramic 1u 25V X5R 0603"              
C19        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  91.4000      122.0000     180      "Cap Ceramic 0.1u 25V X7R 0603"            
C18        "Cap Ceramic 1u 25V X5R 0603"              TopLayer CAPC1608N-0603  91.4000      120.5000     180      "Cap Ceramic 1u 25V X5R 0603"              
C17        "Cap Ceramic 0.1u 50V X7R 0603"            TopLayer CAPC1608N-0603  83.1000      126.0000     90       "Cap Ceramic 0.1u 50V X7R 0603"            
C16        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  76.6000      129.2000     270      "Cap Ceramic 0.1u 25V X7R 0603"            
C15        "Cap Ceramic 1u 25V X5R 0603"              TopLayer CAPC1608N-0603  82.4000      129.9000     90       "Cap Ceramic 1u 25V X5R 0603"              
C14        "Cap Ceramic 1u 25V X5R 0603"              TopLayer CAPC1608N-0603  88.8000      130.7000     270      "Cap Ceramic 1u 25V X5R 0603"              
C13        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  76.6000      126.1000     270      "Cap Ceramic 0.1u 25V X7R 0603"            
C12        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  92.8000      118.9000     180      "Cap Ceramic 0.1u 25V X7R 0603"            
C11        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  84.3000      109.8000     360      "Cap Ceramic 0.1u 25V X7R 0603"            
R23        "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  134.7000     106.2000     90       "Res 499K 1/10W 1% 0603"                   
